id,name,website,latitude,longitude
1,SpringHill Suites Baltimore Downtown Convention Center Area,https://www.marriott.com/bwisl,39.290552,-76.621216
2,Comfort Inn & Suites,https://www.choicehotels.com/maryland/baltimore/comfort-inn-hotels/md277,39.287981,-76.612415
3,Baltimore Marriott Inner Harbor Camden Yards,https://www.marriott.com/en-us/hotels/bwiih-baltimore-marriott-inner-harbor-at-camden-yards/overview/,39.286952,-76.621437
4,Residence Inn Marriott,https://www.marriott.com/bwihb,39.28865,-76.613239
5,Lord Baltimore Hotel,https://www.lordbaltimorehotel.com/,39.289748,-76.616122
6,Days Inn,https://www.wyndhamhotels.com/days-inn/baltimore-maryland/days-inn-baltimore-inner-harbor-hotel/overview,39.287218,-76.618022
7,Hampton Inn,https://www.hilton.com/en/hotels/balcyhx-hampton-baltimore-downtown-convention-center/,39.28548,-76.623187
8,Sheraton Inner Harbor Hotel,https://www.marriott.com/en-us/hotels/bwiis-sheraton-inner-harbor-hotel/overview/,39.284599,-76.615401
9,Kimpton Hotel Monaco Baltimore,https://www.monaco-baltimore.com/,39.2898,-76.61559
10,Hyatt Regency Baltimore Inner Harbor,https://baltimore.regency.hyatt.com/,39.284912,-76.614106
11,The Royal Sonesta Harbor Court Baltimore,https://www.sonesta.com/royal-sonesta/md/baltimore/royal-sonesta-harbor-court-baltimore,39.282722,-76.613947
12,Hilton Baltimore,https://www.hilton.com/en/hotels/bwicchh-hilton-baltimore/,39.285687,-76.620879
13,Courtyard Fredericksburg Historic District,https://www.marriott.com/hotels/travel/FKRCY-Courtyard-Fredericksburg-Historic-District,38.300373,-77.457952
14,The Town's Inn,https://thetownsinn.com/,39.323706,-77.731624
15,Motel 6,https://www.motel6.com/content/g6/motel6/motel6-com/en/motels.md.gaithersburg.1489.html,39.146426,-77.21854
16,Sleep Inn - Frederick,https://www.choicehotels.com/west-virginia/harpers-ferry/clarion-hotels/wv078,39.38054,-77.401299
17,Courtyard,https://www.marriott.com/wasld,38.947648,-76.863482
18,The Ivy Hotel,https://www.theivybaltimore.com/?utm_source=google&utm_medium=Local&utm_campaign=Google+My+Business,39.303356,-76.612905
19,Cambria Hotel Rockville,https://www.cambriarockville.com/,39.08449,-77.150179
20,Quality Inn,https://www.choicehotels.com/virginia/woodbridge/quality-inn-hotels/va400?mc=llgoxxpx,38.662242,-77.251257
21,AC Hotel,https://www.marriott.com/en-us/hotels/wasae-ac-hotel-washington-dc-convention-center/overview/,38.902868,-77.020246
22,AC Hotel Washington DC Capitol Hill-Navy Yard,https://www.marriott.com/en-us/hotels/wasao-ac-hotel-washington-dc-capitol-hill-navy-yard/overview/,38.880217,-77.005765
23,AKA White House,https://www.stayaka.com/locations/washington-dc,38.899927,-77.040355
24,American Guest House,https://www.americanguesthouse.com/,38.917657,-77.045978
25,Arc Hotel Washington DC,https://www.archoteldc.com/,38.900269,-77.052899
26,Archer Hotel Old Town Alexandria,https://archerhotel.com/alexandria,38.806031,-77.056858
27,Archer Hotel Tysons,https://archerhotel.com/tysons,38.923862,-77.20756
28,Beacon Hotel,https://www.beaconhotelwdc.com/,38.907049,-77.03805
29,Bethesda North Marriott,https://www.marriott.com/en-us/hotels/wasbn-bethesda-north-marriott-hotel-and-conference-center/,39.047305,-77.11522
30,Cambria Hotel,https://www.cambriadccapitolriverfront.com/,38.87096,-77.011072
31,Cambria Hotel Rockville,https://www.cambriarockville.com/,39.08449,-77.150179
32,Canopy,https://www.hilton.com/en/hotels/dcaempy-canopy-washington-dc-embassy-row/,38.906666,-77.036971
33,Canopy by Hilton,https://www.hilton.com/en/hotels/dcacupy-canopy-washington-dc-the-wharf/?SEO_id=GMB-AMER-PY-DCACUPY&y_source=1_ODQyMDQ4My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,38.878413,-77.0235
34,Canopy by Hilton Washington DC Bethesda North,https://www.hilton.com/en/hotels/dcabnpy-canopy-washington-dc-bethesda-north/,39.050782,-77.116876
35,Capital Hilton,https://www.hilton.com/en/hotels/dcashhh-capital-hilton/?SEO_id=GMB-AMER-HH-DCASHHH&y_source=1_MTIyMDc2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,38.903172,-77.035975
36,Capitol Comfort Hostel,http://runinout.com/Capital-Comfort-Hostel,38.911552,-77.022232
37,Capitol Hill Hotel,https://www.capitolhillhotel-dc.com/,38.886254,-77.003128
38,Churchill Hotel Near Embassy Row,https://www.thechurchillhotel.com/,38.916374,-77.046961
39,Club Quarters,https://clubquartershotels.com/washington-dc/white-house,38.901076,-77.039165
40,Club Wyndham Old Town Alexandria,https://www.extraholidays.com/alexandria-virginia/wyndham-old-town-alexandria?Identifier=psearch&hotelid=15173&utm_medium=referral&utm_source=google.com-local&utm_campaign=yext&utm_content=wynoldtownalexandria,38.807501,-77.058771
41,Comfort Inn,https://www.choicehotels.com/virginia/vienna/quality-inn-hotels,38.894508,-76.842227
42,Comfort Inn & Suites,https://www.choicehotels.com/virginia/woodbridge/sleep-inn-hotels/va054,38.795144,-77.136825
43,Comfort Inn Ballston,https://www.choicehotels.com/virginia/arlington/comfort-inn-hotels/va417,38.88594,-77.116885
44,Comfort Inn Downtown Dc/Convention Center Washington,https://www.choicehotels.com/district-of-columbia/washington/comfort-inn-hotels/dc601,38.905905,-77.029349
45,Concordia,https://www.theconcordia.com/,38.906323,-77.046822
46,Conrad Hotel Washington DC,https://www.hilton.com/en/hotels/wascici-conrad-washington-dc/,38.901277,-77.025366
47,Country Inn & Suites,https://www.radissonhotels.com/en-us/hotels/country-inn-camp-springs-md,38.821987,-76.915797
48,Courtyard,https://www.marriott.com/wasny,38.877979,-77.004061
49,Courtyard,https://www.marriott.com/en-us/hotels/wasyv-courtyard-washington-downtown-convention-center/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,38.897138,-77.024348
50,Courtyard,https://www.marriott.com/waspg,38.906878,-76.846981
51,Courtyard,https://www.marriott.com/wasus,38.907859,-77.003147
52,Courtyard,https://www.marriott.com/wasld,38.947648,-76.863482
53,Courtyard,https://www.marriott.com/wassv,38.995649,-77.024807
54,Courtyard Alexandria Old Town/Southwest,https://www.marriott.com/wasal,38.801915,-77.079262
55,Courtyard Bethesda Chevy Chase,https://www.marriott.com/wasvy,38.964391,-77.087976
56,Courtyard Dulles Airport Herndon,https://www.marriott.com/IADHE,38.958328,-77.421644
57,Courtyard Dulles Airport Herndon/Reston,https://www.marriott.com/IADHC,38.953984,-77.379007
58,Courtyard Dunn Loring Fairfax,https://www.marriott.com/IADCY,38.880261,-77.228275
59,Courtyard Marriott - Foggy Bottom,https://www.marriott.com/wasfb,38.89654,-77.044523
60,Courtyard Tysons McLean,https://www.marriott.com/WASTN,38.920286,-77.227036
61,Courtyard Washington Downtown/Convention Center,https://www.marriott.com/en-us/hotels/wasyv-courtyard-washington-downtown-convention-center/overview,38.904317,-77.024419
62,"Courtyard Washington, DC Dupont Circle",https://www.marriott.com/hotels/travel/wasnc-courtyard-washington-dc-dupont-circle/,38.90742,-77.039708
63,"Crowne Plaza Crystal City-Washington, D.C.",https://www.ihg.com/crowneplaza/hotels/us/en/arlington/wasna/hoteldetail,38.860595,-77.050241
64,Crystal City Marriott at Reagan National Airport,https://www.marriott.com/WASCC,38.856629,-77.05157
65,Crystal Gateway Marriott,https://www.marriott.com/WASGW,38.858669,-77.052671
