id,name,latitude,longitude
1,MT VERNON SQ/7TH ST-CONVENTION CENTER,38.901056,-77.022025
2,SHAW METRO STATION,38.914546,-77.021927
3,METRO CENTER METRO STATION,38.898327,-77.027777
4,JUDICIARY SQUARE METRO STATION,38.896121,-77.016312
5,GALLERY PLACE CHINATOWN METRO STATION,38.898354,-77.021527
6,NEW YORK AVENUE METRO STATION,38.907413,-77.002981
7,UNION STATION METRO STATION,38.897770,-77.006402
8,EASTERN MARKET METRO STATION,38.884148,-76.995010
9,NAVY YARD METRO STATION,38.876517,-77.004749
10,CAPITOL SOUTH METRO STATION,38.885669,-77.005892
11,POTOMAC AVE METRO,38.880874,-76.985397
12,STADIUM ARMORY METRO STATION,38.885982,-76.977168
13,FEDERAL TRIANGLE METRO STATION,38.893789,-77.027896
14,ARCHIVES METRO STATION,38.893907,-77.021592
15,MCPHERSON SQ METRO STATION,38.901335,-77.031958
16,FARRAGUT WEST METRO STATION,38.901366,-77.039482
17,CLEVELAND PARK METRO STATION,38.935852,-77.058624
18,VAN NESS-UDC METRO STATION,38.944519,-77.063716
19,WOODLEY PARK-ZOO METRO STATION,38.925000,-77.052350
20,U STREET METRO STATION,38.917015,-77.029169
21,COLUMBIA HEIGHTS METRO STATION,38.928711,-77.032454
22,GEORGIA AVE PETWORTH STATION,38.936255,-77.024252
23,FORT TOTTEN METRO STATION,38.951808,-77.001864
24,TAKOMA METRO STATION,38.975432,-77.017421
25,TENLEYTOWN METRO STATION,38.947849,-77.079299
26,BROOKLAND-CUA METRO,38.933232,-76.994474
27,RHODE ISLAND METRO STATION,38.920778,-76.995682
28,BENNING RD METRO STATION,38.890418,-76.937662
29,DEANWOOD METRO STATION,38.907945,-76.935569
30,MINNESOTA AVE METRO STATION,38.898313,-76.947716
31,ANACOSTIA METRO STATION,38.862117,-76.995325
32,CONGRESS HEIGHTS METRO STATION,38.845379,-76.987860
33,WATERFRONT METRO STATION,38.876478,-77.017189
34,FEDERAL CENTER METRO STATION,38.884981,-77.015536
35,SMITHSONIAN METRO STATION,38.887587,-77.028174
36,L'ENFANT PLAZA METRO STATION,38.884886,-77.021600
37,DUPONT CIRCLE METRO STATION,38.911129,-77.044428
38,FARRAGUT NORTH METRO STATION,38.903297,-77.039502
39,FOGGY BOTTOM METRO STATION,38.900705,-77.050026
40,COLLEGE PARK/U OF MD METRO STATION,38.978400,-76.928197
41,ADDISON ROAD METRO STATION,38.886702,-76.893290
42,CAPITOL HEIGHTS METRO STATION,38.889571,-76.913313
43,BRANCH AVE METRO STATION,38.827022,-76.911802
44,SUITLAND METRO STATION,38.843839,-76.931610
45,NAYLOR ROAD METRO STATION,38.851164,-76.956314
46,SOUTHERN AVE METRO STATION,38.841047,-76.975003
47,GREENBELT METRO STATION,39.011067,-76.911011
48,LARGO TOWN CENTER METRO STATION,38.900269,-76.844540
49,WEST HYATTSVILLE METRO STATION,38.955028,-76.969522
50,PRINCE GEORGES PLAZA METRO STATION,38.965252,-76.955988
51,MORGAN BOULEVARD METRO STATION,38.893586,-76.868498
52,CHEVERLY METRO STATION,38.916552,-76.915104
53,LANDOVER METRO STATION,38.933994,-76.890005
54,NEW CARROLLTON METRO STATION,38.946912,-76.870445
55,BETHESDA METRO STATION,38.984431,-77.094151
56,MEDICAL CENTER METRO/NAVAL MED CTR & NIH,39.000062,-77.096948
57,FRIENDSHIP HEIGHTS METRO STATION,38.960997,-77.085767
58,ROCKVILLE METRO STATION,39.085452,-77.146689
59,GROSVENOR METRO STATION,39.029243,-77.103838
60,TWINBROOK METRO STATION,39.062389,-77.120792
61,WHITE FLINT METRO STATION,39.047162,-77.112782
62,SHADY GROVE METRO STATION,39.119990,-77.164761
63,WHEATON METRO STATION,39.038565,-77.050776
64,GLENMONT METRO STATION,39.061743,-77.053097
65,FOREST GLEN METRO STATION,39.015465,-77.042667
66,SILVER SPRING METRO STATION,38.993658,-77.032307
67,DUNN LORING MERRIFIELD METRO STATION,38.883146,-77.228654
68,VIENNA METRO STATION,38.877881,-77.271363
69,WEST FALLS CHURCH METRO,38.900738,-77.188871
70,FRANCONIA SPRINGFIELD METRO,38.766196,-77.168487
71,CLARENDON METRORAIL STATION,38.887176,-77.094987
72,COURTHOUSE METRO STATION,38.891331,-77.084823
73,PENTAGON METRO STATION,38.869474,-77.053777
74,CRYSTAL CITY METRO STATION,38.857817,-77.050346
75,NATIONAL AIRPORT METRO STATION,38.853003,-77.043475
76,PENTAGON CITY METRO STATION,38.862961,-77.059142
77,BALLSTON METRO,38.882238,-77.111550
78,VIRGINIA SQUARE METRO STATION,38.883074,-77.103809
79,EAST FALLS CHURCH METRO STATION,38.886042,-77.156567
80,ROSSLYN METRO STATION,38.895493,-77.071954
81,ARLINGTON CEMETERY METRO STATION,38.884612,-77.062795
82,HUNTINGTON AV METRO STATION,38.793895,-77.074955
83,VAN DORN METRO STATION,38.799263,-77.129111
84,BRADDOCK RD METRORAIL STATION,38.814052,-77.053434
85,EISENHOWER AV METRO STATION,38.800345,-77.070831
86,KING STREET METRO STATION,38.806506,-77.060796
87,ASHBURN,39.005286,-77.491529
88,LOUDOUN GATEWAY,38.992042,-77.460679
89,WASHINGTON DULLES INTERNATIONAL AIRPORT,38.955782,-77.448150
90,INNOVATION CENTER,38.960761,-77.415296
91,HERNDON,38.952820,-77.385178
92,RESTON TOWN CENTER,38.952768,-77.360188
93,WIEHLE-RESTON EAST,38.947825,-77.340313
94,SPRING HILL,38.929206,-77.241887
95,GREENSBORO,38.921261,-77.234160
96,TYSONS,38.920677,-77.221586
97,MCLEAN,38.924330,-77.210530
98,Union Station VRE,38.897746,-77.006221
99,L'Enfant VRE,38.885738,-77.021483
100,Manassas VRE,38.750134,-77.472794
101,Manassas Park VRE,38.765545,-77.440728
102,Broad Run Airport VRE,38.729255,-77.526106
103,Burke Centre VRE,38.797351,-77.298807
104,Rolling Road VRE,38.794575,-77.258627
105,Lorton VRE,38.715058,-77.214564
106,Quantico VRE,38.522032,-77.293067
107,Franconia / Springfield VRE,38.766248,-77.168838
108,Backlick Road VRE,38.796892,-77.184073
109,Rippon VRE,38.612436,-77.253574
110,Woodbridge VRE,38.659024,-77.248092
111,Crystal City VRE,38.859216,-77.048391
112,Alexandria VRE,38.806239,-77.062654
113,Fredericksburg VRE,38.298551,-77.456950
114,Leeland Road VRE,38.347016,-77.437745
115,Brooke VRE,38.387217,-77.381355
116,Clifton VRE,38.781200,-77.386250
117,Spotsylvania VRE,38.220170,-77.440641
118,ABERDEEN MARC,39.509165,-76.162681
119,BARNESVILLE MARC,39.209452,-77.382280
120,BOWIE STATE MARC,39.017560,-76.764990
121,BOYDS MARC,39.184240,-77.314290
122,BRUNSWICK MD MARC,39.311859,-77.627050
123,BWI RAIL STATION MARC,39.192190,-76.694236
