id,name,latitude,longitude,website
1,Pitango Gelato and Coffee,38.8952108,-77.0216721,https://www.pitangogelato.com/location/penn-quarter/
2,Cascade Café,38.891246,-77.0179449,https://www.nga.gov/visit/food-drink/cascade-cafe-menu.html
3,Garden Cafe,38.8912789,-77.0198796,https://www.nga.gov/visit/food-drink/garden-cafe-menu.html
4,Pavilion Café,38.8912963,-77.0235184,https://www.nga.gov/visit/food-drink.html/?utm_source=website&#038;utm_medium=redirect&#038;utm_campaign=home&#038;utm_id=pavilioncafe.com
5,Tivoli Gourmet & Pastry,38.881678,-77.1111589,https://tivoli-ballston.edan.io/
6,Roggenart Bistro & CafÃ©,38.8806231,-77.1133652,https://roggenart.com/
7,Gute Leute,38.8802229,-77.1147028,https://www.instagram.com/gute_leute_usa/
8,Good Company,38.8788708,-77.1125849,https://www.gocodough.com/
9,Union Kitchen,38.8796927,-77.1095448,https://www.unionkitchen.com/retail-stores
10,Starbucks,38.8822924,-77.1163246,https://www.starbucks.com/menu?gad_source=1&gclid=CjwKCAjwx4O4BhAnEiwA42SbVIWpDU8_ereFM8ETsI6911KO9FIgscKWPzqW4FysQA-3248b5fs4ahoC0TAQAvD_BwE
11,Gallery Cafe at Ballston,38.8832846,-77.1153925,http://www.galleryballston.com/
12,Quartermaine,38.9810796,-77.0965257,https://quartermaine.com/
13,Berries & Bowls,38.9822009,-77.0982311,https://www.berriesandbowls.com
14,Tout de Sweet,38.9890859,-77.0960619,https://www.toutdesweetshop.com/
15,Junction Bakery & Bistro,38.8202911,-77.0578893,https://www.junctionbakery.com/
16,Beans In The Belfry,39.3131503,-77.6290838,https://beansinthebelfry.com/
17,Afters,39.2780497,-76.6143088,https://baltimore.org/listings/afters-cafe/
18,Le Bon Cafe,38.8870439,-77.0033429,https://www.leboncafedc.com/
19,South Block,38.8863879,-77.0940607,https://www.southblock.com/
20,Kung Fu Tea,38.8875449,-77.0946922,https://www.kungfutea.com/
21,Kaldi's Social House,38.884258,-77.09481,https://www.kaldissocial.com/
22,The Waterhouse,38.8882261,-77.0943417,https://www.waterhousecoffee.com/
23,Northside Social,38.8854222,-77.0978434,https://www.northsidesocialva.com/
24,Cowork Cafe,38.8896295,-77.0912434,https://www.coworkcafe.com/coworkcafe-at-clarendon/
25,Captain Cookie,38.9348265,-77.0576797,https://captaincookiedc.com/
26,SakuSaku Flakerie,38.9349051,-77.0577151,https://www.sakusakuflakerie.com/
27,Fresh Baguette,38.9345016,-77.0581778,https://www.freshbaguette.net/
28,Clifton Café,38.7804199,-77.3871508,https://www.cliftoncafe.com/
29,Dos Gringos,38.9294319,-77.0378105,https://www.dosgringosdc.com
30,Tynan Coffee and Tea,38.9285884,-77.0333593,https://tynancoffeeandtea.com/
31,Le Caprice DC Cafe Bakery,38.9326023,-77.0329848,https://food.google.com/chooseprovider?restaurantId=/g/1hc6bvm9l&g2lbs=AOHF13n7Upza-UCICXwpH8IVjJVvHDXOfAmPAztzLJUpnjUHBYLmpy5Cr8DZDa8UE9D75_H9mk1KRKVweOaR3nM9oCZ9poikfA%3D%3D&hl=en-US&gl=us&ssta=1&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&gei=RpEBZ97LIYfT5NoPjI2C2Qc&ei=RpEBZ97LIYfT5NoPjI2C2Qc&fo_s=OA&opi=89978449&foub=mcpp&sa=X&ved=2ahUKEwjehuvX-veIAxWHKVkFHYyGIHsQjYwDKAB6BAgvEAg&sei=Ca4S3c2yjCSUEewPnGuqjd8h&utm_campaign&utm_source=search
32,Potter's House,38.9249997,-77.038708,https://pottershousedc.org/
33,Simona Cafe,38.8907543,-77.0889526,https://simonacafe.com/
34,Eclairons,38.8940644,-77.0791808,https://www.eclairons.com/
35,Bayou Bakery,38.8910254,-77.0836416,http://www.bayoubakerydc.com/
36,For Five,38.8910825,-77.0869068,https://www.forfivecoffee.com/
37,Brooklyn Bagel Bakery,38.8918565,-77.0843211,https://www.brooklynbagelva.com/
38,Tatte Bakery & Cafe,38.8573411,-77.0495412,https://tattebakery.com/washington-dc/
39,Lily Bubble Tea & Smoothie,38.8584866,-77.0508763,https://www.thecrystalcityshops.com/go/lily-bubble-tea-and-smoothie
40,Mae's Market and Cafe,38.8601169,-77.053954,https://www.maesmarketandcafe.com/
41,Brij Coffeehouse,38.8589657,-77.0489456,https://www.brijcoffee.com/
42,Colada Shop,38.9070731,-77.0438717,https://www.coladashop.com/
43,Kramerbooks & Afterwords CafÃ©,38.9108176,-77.0438161,https://bookshop.org/shop/kramers
44,Soho Tea & Coffee,38.9094741,-77.0485969,https://sohoteaandcoffee.com/
45,Java House,38.9112644,-77.0381551,https://www.javahousedc.com/
46,Prego Again,38.9117646,-77.0382617,https://pregoagain.com/
47,Emissary,38.9094949,-77.0463838,https://www.emissarydc.com/about-2?gad_source=1&gclid=CjwKCAjwx4O4BhAnEiwA42SbVPmTgW45pw0LXhKG-OUuxUczty_yv8PG8-mB93CwbQvYE27XxCyGgBoC6qIQAvD_BwE
48,Three Fifty Bakery & Coffee Bar,38.9127567,-77.0382578,https://www.threefifty.com/
49,Au Lait,38.9115032,-77.0387314,https://www.aulaitdc.com/
50,Cafe Integral,38.9159523,-77.0467062,https://www.cafeintegral.com/washington-dc
51,Childhood Cafe,38.9166318,-77.0387143,https://www.instagram.com/childhoodcafedc/
