station_id,station_name,station_line,station_lat,station_lon
118,ABERDEEN MARC,MARC,39.509165,-76.162681
41,ADDISON ROAD METRO STATION,"Blue, Silver",38.886702,-76.89329
112,ALEXANDRIA VRE,VRE,38.806239,-77.062654
31,ANACOSTIA METRO STATION,Green,38.862117,-76.995325
14,ARCHIVES METRO STATION,"Green,  Yellow",38.893907,-77.021592
81,ARLINGTON CEMETERY METRO STATION,Blue,38.884612,-77.062795
87,ASHBURN METRO STATION,Silver,39.005286,-77.491529
108,BACKLICK ROAD VRE,VRE,38.796892,-77.184073
77,BALLSTON METRO STATION,"Orange, Silver",38.882238,-77.11155
119,BARNESVILLE MARC,MARC,39.209452,-77.38228
28,BENNING ROAD METRO STATION,"Blue, Silver",38.890418,-76.937662
55,BETHESDA METRO STATION,Red,38.984431,-77.094151
120,BOWIE STATE MARC,MARC,39.01756,-76.76499
121,BOYDS MARC,MARC,39.18424,-77.31429
84,BRADDOCK ROAD METRO STATION,"Blue, Yellow",38.814052,-77.053434
43,BRANCH AVE METRO STATION,Green,38.827022,-76.911802
102,BROAD RUN AIRPORT VRE,VRE,38.729255,-77.526106
115,BROOKE VRE,VRE,38.387217,-77.381355
26,BROOKLAND-CUA METRO STATION,Red,38.933232,-76.994474
122,BRUNSWICK MARC,MARC,39.311859,-77.62705
103,BURKE CENTER VRE,VRE,38.797351,-77.298807
123,BWI RAIL STATION MARC,MARC,39.19219,-76.694236
124,CAMDEN MARC,MARC,39.2837,-76.6197
42,CAPITOL HEIGHTS METRO STATION,"Blue, Silver",38.889571,-76.913313
10,CAPITOL SOUTH METRO STATION,"Blue, Orange, Silver",38.885669,-77.005892
52,CHEVERLY METRO STATION,Orange,38.916552,-76.915104
71,CLARENDON METRO STATION,"Orange, Silver",38.887176,-77.094987
17,CLEVELAND PARK METRO STATION,Red,38.935852,-77.058624
116,CLIFTON VRE,VRE,38.7812,-77.38625
125,COLLEGE PARK MARC,MARC,38.97788,-76.92876
40,COLLEGE PARK U- MD METRO STATION,Green,38.9784,-76.928197
21,COLUMBIA HEIGHTS METRO STATION,Green,38.928711,-77.032454
32,CONGRESS HEIGHTS METRO STATION,Green,38.845379,-76.98786
72,COURTHOUSE METRO STATION,"Orange, Silver",38.891331,-77.084823
74,CRYSTAL CITY METRO STATION,"Blue, Yellow",38.857817,-77.050346
111,CRYSTAL CITY VRE,VRE,38.859216,-77.048391
29,DEANWOOD METRO STATION,Orange,38.907945,-76.935569
126,DICKERSON MARC,MARC,39.21997,-77.42119
127,DORSEY MARC,MARC,39.181268,-76.745121
48,DOWNTOWN LARGO METRO STATION,"Blue, Silver",38.900269,-76.84454
128,DUFFIELFS W. VA MARC,MARC,39.362352,-77.82666
67,DUNN LORING MERRIFIELD METRO STATION,Orange,38.883146,-77.228654
37,DUPONT CIRCLE METRO STATION,Red,38.911129,-77.044428
79,EAST FALLS CHURCH METRO STATION,"Orange, Silver",38.886042,-77.156567
8,EASTERN MARKET METRO STATION,"Blue, Orange, Silver",38.884148,-76.99501
129,EDGEWOOD MARC,MARC,39.415967,-76.292139
85,EISENHOWER AVE METRO STATION,Yellow,38.800345,-77.070831
38,FARRAGUT NORTH METRO STATION,Red,38.903297,-77.039502
16,FARRAGUT WEST METRO STATION,"Blue, Orange, Silver",38.901366,-77.039482
34,FEDERAL CENTER METRO STATION,"Blue, Orange, Silver",38.884981,-77.015536
13,FEDERAL TRIANGLE METRO STATION,"Blue, Orange, Silver",38.893789,-77.027896
39,FOGGY BOTTOM METRO STATION,"Blue, Orange, Silver",38.900705,-77.050026
65,FOREST GLEN METRO STATION,Red,39.015465,-77.042667
23,FORT TOTTEN METRO STATION,"Green, Red ",38.951808,-77.001864
107,FRANCONIA SPRINGFIELD VRE,VRE,38.766248,-77.168838
70,FRANCONIA SPRINGFIELD METRO STATION,Blue,38.766196,-77.168487
130,FREDERICK MARC,MARC,39.41186,-77.40544
113,FREDERICKSBURG VRE,VRE,38.298551,-77.45695
57,FRIENDSHIP HEIGHTS METRO STATION,Red,38.960997,-77.085767
131,GAITHERSBURG MARC,MARC,39.141424,-77.193339
5,GALLERY PLACE CHINATOWN METRO STATION,"Red, Green, Yellow",38.898354,-77.021527
132,GARRETT PARK MARC,MARC,39.038859,-77.093281
22,GEORGIA AVE PETWORTH METRO STATION,Green,38.936255,-77.024252
133,GERMANTOWN MARC,MARC,39.17314,-77.27062
64,GLENMONT METRO STATION,Red,39.061743,-77.053097
134,GREENBELT MARC,MARC,39.010228,-76.912197
47,GREENBELT METRO STATION,Green,39.011067,-76.911011
95,GREENSBORO METRO STATION,Silver,38.921261,-77.23416
59,GROSVENOR METRO STATION,Red,39.029243,-77.103838
135,HALETHORPE MARC,MARC,39.23701,-76.69132
136,HARPERS FERRY W. VA MARC,MARC,39.324496,-77.73057
91,HERNDON METRO STATION,Silver,38.95282,-77.385178
82,HUNTINGTON METRO STATION,Yellow,38.793895,-77.074955
50,HYATTSVILLE CROSSING METRO STATION,Green,38.965252,-76.955988
90,INNOVATION CENTER METRO STATION,Silver,38.960761,-77.415296
137,JESSUP MARC,MARC,39.151525,-76.776332
4,JUDICIARY SQUARE METRO STATION,Red ,38.896121,-77.016312
138,KENSINGTON MARC,MARC,39.02676,-77.07181
86,KING STREET METRO STATION,"Blue, Yellow",38.806506,-77.060796
53,LANDOVER METRO STATION,Orange,38.933994,-76.890005
140,LAUREL MARC,MARC,39.10242,-76.84161
139,LAUREL RACETRACK MARC,MARC,39.105464,-76.834411
114,LEELAND ROAD VRE,VRE,38.347016,-77.437745
36,L'ENFANT PLAZA METRO STATION,"Blue, Green,  Orange, Silver, Yellow",38.884886,-77.0216
99,L'ENFANT VRE,VRE,38.885738,-77.021483
105,LORTON VRE,VRE,38.715058,-77.214564
88,LOUDOUN GATEWAY METRO STATION,Silver,38.992042,-77.460679
